,Country,Code,suicide_rate
0,Greenland,GRL,53.33557439
1,Lesotho,LSO,42.17026253
2,Guyana,GUY,32.62007498
3,Kiribati,KIR,26.55322779
4,Ukraine,UKR,26.34409735
5,Solomon Islands,SLB,24.58513244
6,Eswatini,SWZ,24.5348527
7,Suriname,SUR,24.11584047
8,Lithuania,LTU,23.87130572
9,Zimbabwe,ZWE,23.41172792
10,Micronesia (country),FSM,23.12936507
11,Russia,RUS,22.77223881
12,Kazakhstan,KAZ,22.68763856
13,Nauru,NRU,22.55912013
14,Marshall Islands,MHL,21.71960474
15,South Korea,KOR,19.54200112
16,Central African Republic,CAF,19.35334457
17,Vanuatu,VUT,19.27836633
18,Sri Lanka,LKA,19.19140808
19,Botswana,BWA,19.0301057
20,Belarus,BLR,18.98967315
21,Guam,GUM,18.80211639
22,Northern Mariana Islands,MNP,17.29085148
23,Mongolia,MNG,16.73415793
24,Uruguay,URY,16.51708389
25,Tuvalu,TUV,16.1604382
26,Cape Verde,CPV,16.03392448
27,Mozambique,MOZ,15.95684747
28,Latvia,LVA,15.78669791
29,Belgium,BEL,14.95502085
30,Guinea-Bissau,GNB,14.94847978
31,Montenegro,MNE,14.46085073
32,Eritrea,ERI,14.27655392
33,Japan,JPN,14.20905991
34,Zambia,ZMB,13.82507522
35,India,IND,13.79916215
36,Slovenia,SVN,13.75638391
37,Poland,POL,13.68317299
38,Hungary,HUN,13.67615052
39,Palau,PLW,13.53031342
40,South Africa,ZAF,13.49705884
41,Namibia,NAM,13.43465376
42,Taiwan,TWN,13.36555377
43,Gabon,GAB,13.35320054
44,Cameroon,CMR,13.26146877
45,Cote d'Ivoire,CIV,13.19486721
46,Samoa,WSM,13.10648276
47,Chad,TCD,13.02864918
48,Finland,FIN,12.99713266
49,Burkina Faso,BFA,12.90240169
50,Somalia,SOM,12.66892383
51,Serbia,SRB,12.5438944
52,France,FRA,12.48851282
53,Congo,COG,12.42241911
54,Burundi,BDI,12.39535244
55,Cook Islands,COK,12.37299755
56,Nepal,NPL,12.3072723
57,Angola,AGO,12.28997461
58,Senegal,SEN,12.21497719
59,Estonia,EST,12.17677064
60,Democratic Republic of Congo,COD,12.10886586
61,Niue,NIU,11.77751892
62,Togo,TGO,11.76615055
63,Moldova,MDA,11.71269889
64,Malawi,MWI,11.70552073
65,United States,USA,11.67127887
66,Uzbekistan,UZB,11.33694326
67,Austria,AUT,11.26561808
68,Croatia,HRV,11.07674349
69,Guinea,GIN,11.07065895
70,Canada,CAN,11.01104929
71,Cuba,CUB,10.9510774
72,Kenya,KEN,10.89282245
73,Benin,BEN,10.87259575
74,Uganda,UGA,10.79435305
75,Bulgaria,BGR,10.79324231
76,Sweden,SWE,10.73350648
77,New Zealand,NZL,10.70027267
78,Czech Republic,CZE,10.61502327
79,Argentina,ARG,10.41185243
80,Australia,AUS,10.38888055
81,Monaco,MCO,10.34704298
82,Equatorial Guinea,GNQ,10.18979396
83,Tokelau,TKL,10.16082371
84,Ethiopia,ETH,10.12831208
85,Tanzania,TZA,10.05637001
86,Gambia,GMB,9.986000161
87,Trinidad and Tobago,TTO,9.909123337
88,Sierra Leone,SLE,9.867023286
89,Slovakia,SVK,9.837954672
90,Madagascar,MDG,9.777004596
91,Chile,CHL,9.760797092
92,Kyrgyzstan,KGZ,9.753415326
93,Ghana,GHA,9.737964903
94,Haiti,HTI,9.624718054
95,Fiji,FJI,9.605636327
96,North Korea,PRK,9.601048518
97,Switzerland,CHE,9.595740134
98,Germany,DEU,9.507900179
99,Rwanda,RWA,9.490917659
100,Djibouti,DJI,9.415608998
101,Ecuador,ECU,9.406797037
102,San Marino,SMR,9.244892619
103,Niger,NER,9.059476835
